Image Name,Xs Positions (True),Xs Positions (Output),Os Positions (True),Os Positions (Output)
IMG_20220614_014432_jpg.rf.155ec4625b1f3d7c9d82495bf9146065.jpg,"[5, 7]","[5, 7]",[8],[8]
IMG_20220614_014451_jpg.rf.6af0a1bcb1685e6b511e001241635f43.jpg,"[3, 5, 9]","[3, 5, 9]","[2, 7]","[2, 7]"
IMG_20220613_231107_jpg.rf.a0928dbd4333d7f4d28dfe9c4f6e8de2.jpg,"[2, 4, 5, 9]","[2, 4, 5, 9]","[1, 3, 6, 7, 8]","[1, 3, 6, 7, 8]"
IMG_20220614_014451_jpg.rf.48b0c662ed44ef43ac70ac30e1ff2196.jpg,"[1, 5, 7]","[1, 5, 7]","[3, 8]","[3, 8]"
IMG_20220614_014451_jpg.rf.ee5953dd4e6d9bb3b3b61b93202efc28.jpg,"[3, 5, 9]","[3, 5, 9]","[2, 7]","[2, 7]"
IMG_20220614_014419_jpg.rf.07103d2129e9ff3533c75f90fcd58bda.jpg,[5],[5],[2],[2]
IMG_20220613_231218_jpg.rf.771733e791977c4cf00b58ffd26dd8b3.jpg,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
IMG_20220613_231037_jpg.rf.d410cba32b8c69092eea348443df19f2.jpg,"[1, 5, 6]","[1, 5, 6]","[2, 3]","[2, 3]"
IMG_20220614_014228_jpg.rf.40dab356f774f1e736345430698fb242.jpg,"[2, 4, 6, 8, 9]","[2, 4, 6, 8, 9]","[1, 3, 5, 7]","[1, 3, 5, 7]"
IMG_20220613_231029_jpg.rf.d2e28a8960f554383d4bd556eb4f2297.jpg,"[1, 6]","[1, 6]","[2, 3]","[2, 3]"
IMG_20220614_014150_jpg.rf.2f63ae1320a0b001aec5fc892ca8c86f.jpg,[3],[3],[7],[7]
IMG_20220614_014222_jpg.rf.be5bed4e03b93ecc36e15013a4de68f3.jpg,"[2, 3, 6, 8]","[2, 3, 6, 8]","[1, 5, 7, 9]","[1, 5, 7, 9]"
IMG_20220613_231524_jpg.rf.d3afa45d405ee555a30804db403805bb.jpg,"[2, 4, 6, 8]","[2, 4, 6, 8]","[1, 3, 5, 7, 9]","[1, 3, 5, 7, 9]"
IMG_20220613_231037_jpg.rf.285df21bb1e105adbb0bd43b350f5216.jpg,"[3, 4, 5]","[3, 4, 5]","[1, 2]","[1, 2]"
IMG_20220614_014432_jpg.rf.52368bb76804524b914c2e62b5e84e8a.jpg,"[5, 9]","[5, 9]",[8],[8]
IMG_20220613_231005_jpg.rf.70509a0fc4a28f703ee09b49fb3f61ee.jpg,[],[],[9],[9]
IMG_20220614_014222_jpg.rf.82a8410c66dadfdcc4723a627c6c952f.jpg,"[2, 6, 8, 9]","[2, 6, 8, 9]","[1, 3, 5, 7]","[1, 3, 5, 7]"
IMG_20220614_014053_jpg.rf.eafee9019835de38f1466cf544953c43.jpg,[],[],[],[]
IMG_20220613_231005_jpg.rf.eabefdb4350aa6654befcb2bba54fcb6.jpg,[],[],[7],[7]
IMG_20220613_231245_jpg.rf.c6ceb7a83ab88079aa1139c07266f398.jpg,[3],[3],[5],[5]
IMG_20220613_231044_jpg.rf.215ecbab4936ad5d0616838a3d95b0b6.jpg,"[4, 5, 9]","[4, 5, 9]","[6, 7, 8]","[6, 7, 8]"
IMG_20220614_014205_jpg.rf.2f28fbf43159a820102fbf83eb64ba3e.jpg,"[2, 6, 9]","[2, 6, 9]","[1, 3]","[1, 3]"
IMG_20220614_014217_jpg.rf.280e8d3a99b6e3a88713b3bc0b15e4b5.jpg,"[1, 2, 4, 8]","[1, 2, 4, 8]","[5, 7, 9]","[5, 7, 9]"
IMG_20220614_014205_jpg.rf.a9b20c90632a46742300760abfea417b.jpg,"[1, 4, 8]","[1, 4, 8]","[7, 9]","[7, 9]"
IMG_20220613_231044_jpg.rf.bbc5ab594aedf8819dca624cc11ffda0.jpg,"[3, 4, 5]","[3, 4, 5]","[1, 2, 6]","[1, 2, 6]"
IMG_20220614_014155_jpg.rf.2d5b971abd85dc5b9a95331669a1264c.jpg,"[6, 9]","[6, 9]",[1],[1]
IMG_20220613_231016_jpg.rf.8382ff63e05b5bc727db3798e06ca325.jpg,[],[],"[2, 3]","[2, 3]"
IMG_20220613_231016_jpg.rf.5e1bc236929eb262f892c757fa278b5e.jpg,[],[],"[7, 8]","[7, 8]"
IMG_20220613_231107_jpg.rf.aab5342e32a691053f6b0714176ed606.jpg,"[1, 5, 6, 8]","[1, 5, 6, 8]","[2, 3, 4, 7, 9]","[2, 3, 4, 7, 9]"
IMG_20220614_014155_jpg.rf.dc70578b150aa3f40eaae2d9ffcc3374.jpg,"[4, 7]","[4, 7]",[3],[3]
IMG_20220614_014419_jpg.rf.454cf41e7b88e215404870d5099dd048.jpg,[5],"[2, 5]",[2],[]
IMG_20220614_014200_jpg.rf.7dde776416016cb9ce23fa5fdbcfa91b.jpg,"[3, 6]","[3, 6]","[7, 9]","[7, 9]"
IMG_20220614_014053_jpg.rf.341d66709ebc49b7f0da3962911ad93c.jpg,[],[],[],[]
IMG_20220614_014222_jpg.rf.fa8070eec4abd707bdf167e4ad191dc2.jpg,"[2, 4, 7, 8]","[2, 4, 7, 8]","[1, 3, 5, 9]","[1, 3, 5, 9]"
IMG_20220613_231524_jpg.rf.e6a69a81d5a4714a37886b2ff1c2ae05.jpg,"[2, 4, 6, 8]","[2, 4, 6, 8]","[1, 3, 5, 7, 9]","[1, 3, 5, 7, 9]"
IMG_20220614_014155_jpg.rf.4d7cf08312df75ae918759fe41aeb771.jpg,"[1, 4]","[1, 4]",[9],[9]
IMG_20220613_231445_jpg.rf.5e19428699cd39c2f134e54cd9cdef63.jpg,"[1, 3, 5, 7, 9]","[1, 3, 5, 7, 9]","[2, 4, 6, 8]","[2, 4, 6, 8]"
IMG_20220614_014503_jpg.rf.3ea31bd3c4593408280896dfc13627b5.jpg,"[1, 5, 7, 9]","[1, 2, 3, 5]","[3, 4, 8]",[]
IMG_20220613_231218_jpg.rf.67e5529db5dc6de63815f7538a38f6c0.jpg,[],[],"[1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
IMG_20220614_014419_jpg.rf.6a1dda701774dab08640e722af55b001.jpg,[5],[5],[8],[8]
IMG_20220614_014150_jpg.rf.5a7afecd6e0af258dbfd0cd85114ffd1.jpg,[1],[1],[9],[9]
IMG_20220613_231037_jpg.rf.e1b16c210cf74efc51d1a36de537eca4.jpg,"[3, 4, 5]","[3, 4, 5]","[1, 2]","[1, 2]"
IMG_20220614_014053_jpg.rf.ddc41f032e8195e92fb01d6f2659d079.jpg,[],[],[],[]
IMG_20220614_014200_jpg.rf.ccd79d5495d60cca0c038a5ef28aceaf.jpg,"[6, 9]","[6, 9]","[1, 3]","[1, 3]"
IMG_20220613_231029_jpg.rf.810c7d90541c6ed8b0ec1fd05d121e46.jpg,"[3, 4]","[3, 4]","[1, 2]","[1, 2]"
IMG_20220613_231445_jpg.rf.169402da7157f5efd22e48215255552a.jpg,"[1, 3, 5, 7, 9]","[1, 3, 5, 7, 9]","[2, 4, 6, 8]","[2, 4, 6, 8]"
